109000,1113,33,0.35,0.108,0.2
145000,595,5,0.05,0.111
633000,1747,30,1,0.096
560000,517,6,0.37,0.126
112000,4900,132,0.3,0.196
375000,7856,153,1,0.127
633000,5347,139,0.05,0.097
109000,1411,18,0.02,0.141
145000,680,6,0.05,0.115
109000,3647,33,0.03,0.123
5260000,1533,18,0.38,0.1
145000,878,8,0.05,0.118
6460000,1151,12,0.38,0.149
614000,2263,5,0.28,0.101
5260000,1143,9,0.02,0.066
614000,1434,12,0.05,0.109
145000,526,4,0.25,0.162
65800,192,2,28,0.156
145000,364,4,0.05,0.113
634000,3941,66,0.37,0.094
1480000,1410,9,1,0.117
113000,3457,38,0.38,0.114
109000,3217,89,0,0.142
376000,4546,73,1,0.173
560000,436,6,1,0.161
803000,486,1,2,0.072
109000,1798,27,0.02,0.123
306000,751,8,2,0.13
803000,567,8,0.03,0.037
5260000,494,4,0.07,0.073
113000,1051,7,0.08,0.144
5260000,406,3,0.02,0.071
6460000,2011,57,1,0.191
110000,4066,23,0.35,0.121
56900,418,3,1,0.132
560000,326,6,0.38,0.172
110000,2630,61,0.02,0.125
146000,1127,33,1,0.177
376000,4780,44,1,0.146
299000,192,2,3,0.12
110000,1538,25,0.02,0.111
634000,2612,19,1,0.096
56900,629,4,0,0.086
141000,142,2,2,0.12
113000,1909,12,0.37,0.139
306000,658,5,1,0.122
803000,368,2,1,0.046
57100,522,4,0.33,0.098
57100,257,5,0.02,0.121
110000,2645,14,0.38,0.132
5260000,1497,11,0.37,0.071
634000,2469,19,0.38,0.105
57100,325,7,0.02,0.077
194000,2418,24,4,0.147
57100,470,1,0.02,0.102
110000,3988,3,0.03,0.105
1480000,3142,32,2,0.095
110000,1989,16,0.02,0.108
113000,3161,9,1,0.138
5260000,7328,29,0.07,0.051
146000,645,6,0.32,0.127
110000,3995,80,0.3,0.156
111000,4059,42,0.02,0.116141000,9715,110,7,0.047
307000,75887,167,7,0.084
181000,49889,102,5,0.06
141000,9757,110,7,0.047
181000,50294,102,6,0.06
141000,9834,110,7,0.047
